Created by hand. The 'main' rating value was taken from the EUCLID deliverable thing;;;;;;;
Use R simulations of the beta-distribution to figure out how to distribute it amonst the other bins;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
rating;confidence;1;2;3;4;5;tot
very low impact;L;35;28;20;12;5;100
low impact;;25;35;27;12;1;100
medium impact;;6,5;26;35;26;6,5;100
high impact;;1;12;27;35;25;100
very high impact;;5;12;20;28;35;100
very low impact;M;50;35;12;2;1;100
low impact;;7;50;37;5;1;100
medium impact;;1;24;50;24;1;100
high impact;;1;5;37;50;7;100
very high impact;;1;2;12;35;50;100
very low impact;H;80;20;0;0;0;100
low impact;;14;80;6;0;0;100
medium impact;;0;10;80;10;0;100
high impact;;0;0;6;80;14;100
very high impact;;0;0;0;20;80;100
very low impact;VH;90;10;0;0;0;100
low impact;;6;90;4;0;0;100
medium impact;;0;5;90;5;0;100
high impact;;0;0;5;90;5;100
very high impact;;0;0;0;10;90;100
